starting frequency (kHz),final frequency (kHz),minimum frequency (kHz),maximum frequency (kHz),mean frequency (kHz),frequency bandwidth (kHz),syllable duration (msec),total syllable energy (dB),peak syllable amplitude (dB),Clean 
41.75,41.75,40.28,75.44,39.73,35.16,48,0.8,-16.2,0
80.32,73.24,73.49,84.72,78.61,11.23,30.4,21.66,8.1,1
54.44,58.35,49.07,69.09,57.16,20.02,17.6,2.38,-14.15,0
51.76,54.93,45.17,70.31,46.21,25.15,32,-4.68,-18.19,0
62.01,49.8,49.8,67.38,61.35,17.58,43.2,21.67,8.74,1
87.65,85.69,84.96,96.44,88.25,11.47,35.2,18.3,5.64,1
76.66,63.96,73.73,81.79,75.66,8.06,32,17.54,6.02,1
73.49,74.46,73.49,76.42,74.66,2.93,14.4,1.68,-8.45,1
69.34,62.01,63.23,70.56,62.77,7.32,12.8,-1.89,-11.67,1
41.5,41.5,41.26,47.61,41.26,6.35,19.2,-2.14,-16.27,0
84.72,86.91,84.72,88.87,85.97,4.15,33.6,-1.57,-11.58,0
64.94,63.72,63.96,65.67,64.32,1.71,12.8,-5.01,-14.53,0
37.6,38.33,37.6,59.81,41.76,22.22,25.6,-0.33,-13.85,0
37.84,36.13,37.84,86.67,45.53,48.83,20.8,-0.24,-15.74,0
72.51,72.27,72.51,79.1,74.67,6.59,32,19.26,4.98,1
70.8,100.34,69.09,108.15,75.22,39.06,41.6,13.18,0.44,1
68.85,79.35,42.72,91.06,68.92,48.34,46.4,29.51,17.34,1
91.06,86.43,87.16,96.44,87.31,9.28,20.8,13.46,1.52,1
37.35,71.78,36.87,71.78,42.94,34.91,65.6,7.88,-8.17,0
96.44,93.51,93.51,106.45,98.53,12.94,28.8,21.66,9.64,1
57.86,86.91,57.62,86.91,55.76,29.3,40,-9.22,-19.82,0
45.65,35.64,38.09,57.37,47.32,19.29,30.4,5.01,-14,0
76.42,73.97,74.46,77.39,71.56,2.93,16,3.26,-6.28,1
38.82,87.16,38.82,93.75,53.06,54.93,32,3.39,-12.32,1
37.6,36.87,35.4,72.75,50.25,37.35,232,22.81,-0.48,0
90.58,75.44,74.46,93.26,76.33,18.8,68.8,11.98,1.52,1
36.87,72.51,36.87,76.9,72.03,40.04,19.2,4.97,-7.6,1
76.66,72.27,72.75,78.13,70.87,5.37,22.4,-2.89,-14.09,1
52.25,68.36,46.88,68.85,46.46,21.97,33.6,10.2,-5.68,0
79.59,85.69,79.59,89.84,83.26,10.25,35.2,22.01,10.56,1
45.65,35.64,35.64,87.16,55.98,51.51,22.4,14.07,-4.62,0
63.96,59.57,60.55,65.67,60.61,5.13,20.8,11.87,0.65,1
46.63,67.14,45.17,88.38,66.38,43.21,102.4,12.65,-5.74,0
69.09,69.09,69.09,71.53,69.8,2.44,24,3.35,-9.58,1
94.97,82.76,83.5,102.05,87.95,18.55,24,11.21,-0.79,1
46.88,39.31,42.24,109.13,69.85,66.89,81.6,11.57,-8.61,0
41.5,38.82,34.67,96.92,58.74,62.26,20.8,9.78,-5.93,0
107.67,105.71,104.25,107.42,106.63,3.17,25.6,17.85,7.62,1
63.96,58.35,58.35,69.82,65.18,11.47,46.4,23.15,7.29,1
42.48,38.09,37.84,63.48,45.4,25.63,81.6,4.02,-14,0
39.55,74.22,35.64,88.62,64.14,52.98,17.6,-4.77,-17.66,0
74.22,65.43,65.43,78.37,73.49,12.94,28.8,16.48,4.71,1
63.48,59.81,42.48,65.19,51.45,22.71,56,-2.29,-18.2,0
76.42,75.93,76.42,79.59,74.85,3.17,25.6,7.53,-4.15,1
59.08,55.91,55.91,62.01,57.98,6.1,75.2,12.16,1.08,1
38.09,40.53,38.09,106.93,60.59,68.85,16,17.28,-0.2,0
37.11,37.11,37.11,48.83,37.11,11.72,224,11.25,-9.71,0
78.13,78.13,78.13,80.57,78.54,2.44,14.4,-1.22,-10.93,1
62.5,54.2,43.21,72.02,57.88,28.81,44.8,7.42,-10.7,0
57.13,60.3,57.13,82.28,67.66,25.15,75.2,8.43,-6.78,0
41.5,37.6,41.5,47.36,41.5,5.86,19.2,-3.48,-19.43,0
75.68,76.42,75.68,80.08,77.77,4.39,25.6,5.78,-7.3,1
79.35,74.46,74.71,81.79,76.37,7.08,25.6,9.12,-4.59,1
72.02,98.39,62.5,104.98,74.76,42.48,41.6,30.32,17.1,1
99.37,100.34,88.13,104.49,97.45,16.36,35.2,25.22,12.41,1
